"location","source","target"
"Character.RealName.Sue","Sue",""
"Character.NickName.Sue","Sue",""
"Character.Sue.Motto.1","Sue","Sue"
"Character.RealName.Miki2","Miki2",""
"Character.NickName.Miki2","Miki2",""
"Character.Miki2.Motto.1","Miki2","Miki2"
"Character.RealName.Regules","Regules","Regules"
"Character.NickName.Regules","大神秘学家Regules","大神秘学家Regules"
"Character.Regules.Motto.1","从晴朗的朝色泛起之际开始……","从晴朗的朝色泛起之际开始……"
"Character.RealName.Nora","Nora",""
"Character.NickName.Nora","Nora","Nora"
"Character.Nora.Motto.1","什么时候能退休","什么时候能退休"
"Character.RealName.Roland","Roland","Roland"
"Character.NickName.Roland","开口前先看自己的需求","开口前先看自己的需求"
"Character.Roland.Motto.1","心有恶犬，生人勿近","心有恶犬，生人勿近"
"Character.RealName.Mo","Mo","Mo"
"Character.NickName.Mo","肉夹馍","肉夹馍"
"Character.Mo.Motto.1","A5天下第一","A5天下第一"
"Character.RealName.Neko","Neko","Neko"
"Character.NickName.Neko","我起了一枪秒","我起了一枪秒"
"Character.Neko.Motto.1","这把打完去种田","这把打完去种田"
"Character.RealName.U","U","U"
"Character.NickName.U","用户82331617U","用户82331617U"
"Character.U.Motto.1","无毒不丈夫，无车不人生","无毒不丈夫，无车不人生"
"Character.RealName.Norida","Norida","Norida"
"Character.NickName.Norida","Nori认真工作版","Nori认真工作版"
"Character.Norida.Motto.1","三千年后熔化在同一颗陨石里","三千年后熔化在同一颗陨石里"
"Character.RealName.Frank","Frank","Frank"
"Character.NickName.Frank","林富兰克林","林富兰克林"
"Character.Frank.Motto.1","工作是一种艺术","工作是一种艺术"
"Character.RealName.Viz","Viz","Viz"
"Character.NickName.Viz","艾维辛的誓约","艾维辛的誓约"
"Character.Viz.Motto.1","食我电震啦！","食我电震啦！"
"Character.RealName.Dom","Dom","Dom"
"Character.NickName.Dom","余火","余火"
"Character.Dom.Motto.1","CD14772","CD14772"
"Character.RealName.Will","Will","Will"
"Character.NickName.Will","五十夜威尔森","五十夜威尔森"
"Character.Will.Motto.1","百密一疏","百密一疏"
"Character.RealName.Amanda","Amanda","Amanda"
"Character.NickName.Amanda","曼困困","曼困困"
"Character.Amanda.Motto.1","好困……","好困……"
"Character.RealName.Lynn","Lynn","Lynn"
"Character.NickName.Lynn","泛音圈","泛音圈"
"Character.Lynn.Motto.1","——",""
"Character.RealName.Ray","Ray",""
"Character.NickName.Ray","Ray","Ray"
"Character.Ray.Motto.1","急事没回消息请致电","急事没回消息请致电"
"Character.RealName.Pi","Pi",""
"Character.NickName.Pi","铍动力攻城狮的飞升","铍动力攻城狮的飞升"
"Character.Pi.Motto.1","这就是我存在的意义",""
"Character.RealName.Pi2","Pi",""
"Character.NickName.Pi2","Pi","Pi"
"Character.Pi2.Motto.1","这就是我存在的意义","这就是我存在的意义"
"Character.RealName.Li","Li","Li"
"Character.NickName.Li","锂电子生物男的绝望","锂电子生物男的绝望"
"Character.Li.Motto.1","读研读研苦不堪言","读研读研苦不堪言"
"Character.RealName.Malow","Malow","Malow"
"Character.NickName.Malow","大川医科Dr.M","大川医科Dr.M"
"Character.Malow.Motto.1","2010大川十佳杰出青年学者，2010亚东山河计划英才学者，2009全……","2010大川十佳杰出青年学者，2010亚东山河计划英才学者，2009全……"
"Character.RealName.Malow2","Malow2",""
"Character.NickName.Malow2","Malow2","Malow2"
"Character.Malow2.Motto.1","——",""
"Character.RealName.Zoy","Zoy","Zoy"
"Character.NickName.Zoy","往左","往左"
"Character.Zoy.Motto.1","——",""
"Character.RealName.打印机大电脑啦啦啦","打印机大电脑啦啦啦",""
"Character.NickName.打印机大电脑啦啦啦","打印机大电脑啦啦啦","打印机大电脑啦啦啦"
"Character.打印机大电脑啦啦啦.Motto.1","打倒学阀！","打倒学阀！"
"Character.RealName.学长A","学长A",""
"Character.NickName.学长A","学长A","学长A"
"Character.学长A.Motto.1","——",""
"Character.RealName.Dora","Dora","Dora"
"Character.NickName.Dora","反水母","反水母"
"Character.Dora.Motto.1","——",""
"Character.RealName.CYDB助手","CYDB助手",""
"Character.NickName.CYDB助手","CYDB助手","CYDB助手"
"Character.CYDB助手.Motto.1","——",""
"Character.RealName.Eam","Eam",""
"Character.NickName.Eam","Eam","Eam"
"Character.Eam.Motto.1","——",""
"Character.RealName.Eka","Eka","Eka"
"Character.NickName.Eka","TT艾卡","TT艾卡"
"Character.Eka.Motto.1","——",""
"Character.RealName.Levi","Levi","Levi"
"Character.NickName.Levi","AA美男子小李","AA美男子小李"
"Character.Levi.Motto.1","高价回收二手电子与机械垃圾","高价回收二手电子与机械垃圾"
"Character.RealName.神之域超门","神之域超门",""
"Character.NickName.神之域超门","神之域超门","神之域超门"
"Character.神之域超门.Motto.1","——",""
"Character.RealName.Levi"," Miki"," Pi"
"Character.NickName.Levi"," Miki"," Pi"
"Character.Levi"," Miki"," Pi.Motto.1"
"Character.RealName.Lith","Lith","Lith"
"Character.NickName.Lith","Lith（非本人）","Lith（非本人）"
"Character.Lith.Motto.1","好友位已满，商务合作请注明来意","好友位已满，商务合作请注明来意"
"Character.RealName.Meeka","Meeka","Meeka"
"Character.NickName.Meeka","匆匆过客而已","匆匆过客而已"
"Character.Meeka.Motto.1","万事有缘","万事有缘"
"Character.RealName.Aspen","Aspen","Aspen"
"Character.NickName.Aspen","不上大师不改名","不上大师不改名"
"Character.Aspen.Motto.1","今天也是元气冲冲冲！","今天也是元气冲冲冲！"
"Character.RealName.TycoGroup","Tyco的花花幼稚园",""
"Character.NickName.TycoGroup","Tyco的花花幼稚园","Tyco的花花幼稚园"
"Character.TycoGroup.Motto.1","-",""
"Character.RealName.ChikenGroup","狂暴番茄鸡互骂群",""
"Character.NickName.ChikenGroup","狂暴番茄鸡互骂群","狂暴番茄鸡互骂群"
"Character.ChikenGroup.Motto.1","-",""
"Character.RealName.JacyGroup","Jacy骑士团",""
"Character.NickName.JacyGroup","Jacy骑士团","Jacy骑士团"
"Character.JacyGroup.Motto.1","-",""
"Character.RealName.Tyco","Tyco","Tyco"
"Character.NickName.Tyco","Tyco睡不着","Tyco睡不着"
"Character.Tyco.Motto.1","——",""
"Character.RealName.Jacy","Jacy","Jacy"
"Character.NickName.Jacy","一J开天门","一J开天门"
"Character.Jacy.Motto.1","——",""
"Character.RealName.MageCC","MageCC",""
"Character.NickName.MageCC","MageCC","MageCC"
"Character.MageCC.Motto.1","——",""
"Character.RealName.Woods","Woods","Woods"
"Character.NickName.Woods","重生之我在麻园当魔王","重生之我在麻园当魔王"
"Character.Woods.Motto.1","——",""
"Character.RealName.Deans","Deans","Deans"
"Character.NickName.Deans","枫叶","枫叶"
"Character.Deans.Motto.1","——",""
"Character.RealName.Teddy","Teddy","Teddy"
"Character.NickName.Teddy","疾风炸弹人","疾风炸弹人"
"Character.Teddy.Motto.1","——","——"
"Character.RealName.Kris","Kris","Kris"
"Character.NickName.Kris","只有学习才是出路","只有学习才是出路"
"Character.Kris.Motto.1","鸡飞蛋打","鸡飞蛋打"
"Character.RealName.Plunk","Plunk","Plunk"
"Character.NickName.Plunk","85年生的 Silver","85年生的 Silver"
"Character.Plunk.Motto.1","梦想的光芒将照亮现实","梦想的光芒将照亮现实"
"Character.RealName.Lucid","Lucid","Lucid"
"Character.NickName.Lucid","……",""
"Character.Lucid.Motto.1","人生是旷野","人生是旷野"
"Character.RealName.DomGroup","【八番设计院】【建设与创意部】【水泥组】",""
"Character.NickName.DomGroup","【八番设计院】【建设与创意部】【水泥组】","【八番设计院】【建设与创意部】【水泥组】"
"Character.DomGroup.Motto.1","-","-"
"Character.RealName.Hans","Hans","Hans"
"Character.NickName.Hans","转角街老韩","转角街老韩"
"Character.Hans.Motto.1","财源广进","财源广进"
"Character.RealName.MastroX","MastroX",""
"Character.NickName.MastroX","MastroX","MastroX"
"Character.MastroX.Motto.1","……","……"
"Character.RealName.Pheo","Pheo","Pheo"
"Character.NickName.Pheo","幻想狂大飞","幻想狂大飞"
"Character.Pheo.Motto.1","风来了，役满！","风来了，役满！"
